symptom_keywords,medicine_name,dosage,home_remedy,side_effects
headache,Paracetamol 500mg,"1 tablet after food, up to 3 times a day","Apply a cold compress, rest in a quiet room",
fever and chills,Paracetamol 650mg,1 tablet every 6 hours after food,"Drink fluids, cold sponge bath",
cold and sneezing,Cetirizine 10mg,1 tablet at night after food,"Steam inhalation, warm fluids",
sore throat,Benadryl Syrup,2 teaspoons twice a day after meals,Warm water with honey,
stomach cramps,Cyclopam,1 tablet after food,"Use heating pad, avoid spicy food",
loose motion,Norflox TZ + ORS,1 tablet + 1 ORS sachet after each motion,"Drink ORS, eat bananas and curd",
acidity,Digene,2 teaspoons after meals,"Avoid spicy food, drink cold milk",
gas and bloating,Eno,1 sachet in water after food,"Walk after meals, avoid carbonated drinks",
vomiting,Domstal 10mg,1 tablet before food,"Lemon water, rest",
body pain,Dolo 650,1 tablet after food,"Warm compress, rest",
 Cancer of colon and rectum Non-small cell lung cancer Kidney cancer Brain tumor Ovarian cancer Cervical cancer,Avastin 400mg Injection,As directed by physician,,Rectal bleeding Taste change Headache Nosebleeds Back pain Dry skin High blood pressure Protein in urine Inflammation of the nose
Treatment of Bacterial infections,Augmentin 625 Duo Tablet,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment of Bacterial infections,Azithral 500 Tablet,As directed by physician,,Nausea Abdominal pain Diarrhea
Treatment of Cough with mucus,Ascoril LS Syrup,As directed by physician,,Nausea Vomiting Diarrhea Upset stomach Stomach pain Allergic reaction Dizziness Headache Rash Hives Tremors Palpitations Muscle cramp Increased heart rate
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Aciloc 150 Tablet,As directed by physician,,Headache Diarrhea Gastrointestinal disturbance
Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Allegra 120mg Tablet,As directed by physician,,Headache Drowsiness Dizziness Nausea
Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,Avil 25 Tablet,As directed by physician,Sedation,
 Alzheimer's disease,Aricep 5 Tablet,As directed by physician,,Common cold Urinary incontinence Rash Nausea Diarrhea Insomnia difficulty in sleeping Weight loss Accidental injury
Treatment of Bacterial infections,Amoxyclav 625 Tablet,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
